symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
RLUSDUSDT,NEAR_BREAKOUT,71.52,1.0004,1.0016,0.9996,0.12,99.92,0.2,79,1.0012
UUSDT,NEAR_BREAKOUT,40.43,1.0002,1.0014,0.9994,0.12,100.02,0.2,82,1.0
IBMBUSDT,LOW_VOL_BREAKOUT,0.1,246.07,243.45,205.56,-1.08,113.36,18.43,21,217.07
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,6.7,1.0006,1.0017,0.9993,0.11,100.02,0.24,182,1.0004
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,5.12,708.5,733.88,666.72,3.46,97.85,10.07,26,724.08
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,4.02,1.0,1.0002,0.9989,0.02,100.0,0.13,133,1.0
SKHYBUSDT,LOW_VOL_NEAR_BREAKOUT,2.8,177.0,186.14,139.16,4.91,104.06,33.76,22,170.09
METABUSDT,LOW_VOL_NEAR_BREAKOUT,1.99,662.22,669.65,542.13,1.11,113.06,23.52,26,585.71
AAPLBUSDT,LOW_VOL_NEAR_BREAKOUT,1.86,330.85,340.08,301.98,2.71,97.29,12.62,17,340.08
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,0.8,759.57,776.59,739.33,2.19,101.1,5.04,24,751.29
COINBUSDT,LOW_VOL_NEAR_BREAKOUT,0.53,182.55,188.51,147.17,3.16,108.1,28.09,24,168.87
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.19,500.34,512.87,368.57,2.44,127.97,39.15,26,390.99
TSMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.18,420.32,434.71,374.87,3.31,99.98,15.96,21,420.39
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.05,0.011396,0.01145,0.01133,0.47,99.88,1.06,89,0.01141
