symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
RLUSDUSDT,NEAR_BREAKOUT,36.48,1.0003,1.0016,0.9996,0.13,99.91,0.2,72,1.0012
UUSDT,NEAR_BREAKOUT,24.11,0.9996,1.0014,0.9995,0.18,99.96,0.19,75,1.0
BFUSDUSDT,LOW_VOL_BREAKOUT,3.34,1.0001,1.0,0.9989,-0.01,100.01,0.11,126,1.0
COINBUSDT,LOW_VOL_BREAKOUT,0.46,181.12,177.57,147.17,-2.0,107.25,20.66,16,168.87
XAUTUSDT,LOW_VOL_NEAR_BREAKOUT,6.65,4580.97,4802.05,4007.81,4.6,102.07,19.82,51,4488.26
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,5.29,711.6,733.88,666.72,3.04,98.28,10.07,19,724.08
CRCLBUSDT,LOW_VOL_NEAR_BREAKOUT,4.16,86.98,88.54,60.38,1.76,108.56,46.64,25,80.12
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,3.43,764.46,776.59,739.33,1.56,101.75,5.04,16,751.29
MSTRBUSDT,LOW_VOL_NEAR_BREAKOUT,2.19,117.16,121.41,82.76,3.5,109.76,46.7,21,106.74
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,0.88,217.04,225.26,194.98,3.65,105.2,15.53,25,206.31
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,0.83,1.0006,1.0017,0.9993,0.11,100.02,0.24,175,1.0004
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.17,481.56,506.52,368.57,4.93,123.16,37.43,19,390.99
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.08,0.011395,0.01145,0.011,0.48,99.87,4.09,81,0.01141
PLTRBUSDT,LOW_VOL_NEAR_BREAKOUT,0.02,179.87,180.01,115.7,0.08,138.46,55.58,19,129.91
