symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
RLUSDUSDT,NEAR_BREAKOUT,56.14,1.0004,1.0016,0.9996,0.12,99.92,0.2,74,1.0012
UUSDT,NEAR_BREAKOUT,24.39,0.9996,1.0014,0.9995,0.18,99.96,0.19,77,1.0
PLTRBUSDT,LOW_VOL_BREAKOUT,0.05,185.48,185.37,115.7,-0.06,142.78,60.22,21,129.91
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,4.0,714.94,733.88,666.72,2.58,98.74,10.07,21,724.08
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,2.91,1.0006,1.0017,0.9993,0.11,100.02,0.24,177,1.0004
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,2.72,0.9999,1.0002,0.9989,0.03,99.99,0.13,128,1.0
LITEBUSDT,LOW_VOL_NEAR_BREAKOUT,1.2,889.89,928.65,597.58,4.17,104.52,55.4,21,851.4
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,1.03,217.32,226.07,194.98,3.87,105.34,15.95,28,206.31
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,0.9,766.46,776.59,739.33,1.3,102.02,5.04,19,751.29
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.17,510.35,512.78,368.57,0.47,130.53,39.13,21,390.99
TSMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.17,420.35,432.52,374.87,2.81,99.99,15.38,16,420.39
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.1,0.0114,0.01145,0.01133,0.44,99.91,1.06,84,0.01141
IBMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.04,233.19,237.31,205.56,1.74,107.43,15.45,16,217.07
