symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
LINKUSDT,BREAKOUT,44.73,12.74,12.521,7.248,-1.75,50.52,72.75,220,25.22
QQQBUSDT,BREAKOUT,9.79,745.9,742.94,666.72,-0.4,103.01,11.43,29,724.08
BTCUSDT,NEAR_BREAKOUT,1688.98,85539.99,89300.0,58624.71,4.21,85.68,52.32,220,99831.99
RLUSDUSDT,NEAR_BREAKOUT,98.91,1.0002,1.0016,0.9996,0.14,99.9,0.2,82,1.0012
UUSDT,NEAR_BREAKOUT,29.6,0.9996,1.0014,0.9994,0.18,99.96,0.2,85,1.0
BFUSDUSDT,NEAR_BREAKOUT,10.07,1.0002,1.0002,0.9989,0.0,100.02,0.13,136,1.0
XUSDUSDT,NEAR_BREAKOUT,9.39,1.0005,1.0017,0.9993,0.12,100.01,0.24,185,1.0004
NVDABUSDT,NEAR_BREAKOUT,8.75,227.94,231.15,194.98,1.39,110.48,18.55,35,206.31
AEROUSDT,LOW_VOL_BREAKOUT,5.02,0.6904,0.6587,0.4002,-4.81,146.15,64.59,23,0.4724
AAPLBUSDT,LOW_VOL_BREAKOUT,1.47,340.51,340.08,301.98,-0.13,100.13,12.62,19,340.08
MRVLBUSDT,LOW_VOL_BREAKOUT,1.16,260.35,259.42,163.57,-0.36,117.04,58.6,24,222.44
AMDBUSDT,LOW_VOL_BREAKOUT,0.98,618.21,564.24,454.51,-9.57,116.48,24.14,31,530.76
ARMBUSDT,LOW_VOL_BREAKOUT,0.42,326.6,325.19,211.7,-0.43,116.16,53.61,24,281.17
TSMBUSDT,LOW_VOL_BREAKOUT,0.31,447.89,446.41,374.87,-0.33,106.54,19.08,24,420.39
SMCIBUSDT,LOW_VOL_BREAKOUT,0.29,41.54,41.38,31.34,-0.39,131.08,32.04,17,31.69
IRENBUSDT,LOW_VOL_BREAKOUT,0.24,48.09,47.39,35.61,-1.48,115.94,33.08,17,41.48
SMHBUSDT,LOW_VOL_BREAKOUT,0.08,600.1,588.75,529.6,-1.93,111.11,11.17,19,540.08
SKHYBUSDT,LOW_VOL_NEAR_BREAKOUT,4.79,190.2,195.9,139.16,2.91,111.82,40.77,25,170.09
WBTCUSDT,LOW_VOL_NEAR_BREAKOUT,3.53,85554.26,89405.78,59505.6,4.31,88.59,50.25,220,96574.67
COINBUSDT,LOW_VOL_NEAR_BREAKOUT,3.07,197.13,200.48,147.17,1.67,116.73,36.22,27,168.87
LITEBUSDT,LOW_VOL_NEAR_BREAKOUT,1.14,941.93,986.18,597.58,4.49,110.63,65.03,29,851.4
MUUBUSDT,LOW_VOL_NEAR_BREAKOUT,1.02,38.29,39.0,25.47,1.82,116.03,53.12,22,33.0
DRAMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.86,62.72,65.35,51.11,4.02,95.98,27.86,27,65.35
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,0.71,773.42,776.59,739.33,0.41,102.95,5.04,27,751.29
TQQQBUSDT,LOW_VOL_NEAR_BREAKOUT,0.67,80.1,81.0,63.15,1.11,112.23,28.27,22,71.37
METABUSDT,LOW_VOL_NEAR_BREAKOUT,0.64,737.86,739.68,542.13,0.25,125.98,36.44,29,585.71
BMNRBUSDT,LOW_VOL_NEAR_BREAKOUT,0.63,28.13,28.46,18.01,1.16,149.47,58.02,17,18.82
HOODBUSDT,LOW_VOL_NEAR_BREAKOUT,0.52,122.31,126.46,86.03,3.28,107.81,47.0,24,113.45
QCOMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.49,196.68,198.16,149.96,0.75,102.93,32.14,27,191.08
MVLLBUSDT,LOW_VOL_NEAR_BREAKOUT,0.45,34.98,35.8,20.88,2.29,145.75,71.46,22,24.0
ATUSDT,LOW_VOL_NEAR_BREAKOUT,0.42,0.1627,0.1708,0.1201,4.74,77.74,42.21,101,0.2093
BEBUSDT,LOW_VOL_NEAR_BREAKOUT,0.39,276.99,280.27,180.0,1.17,137.99,55.71,19,200.73
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.33,502.58,512.87,368.57,2.01,128.54,39.15,29,390.99
GMEBUSDT,LOW_VOL_NEAR_BREAKOUT,0.17,24.0,24.01,17.99,0.04,127.52,33.46,15,18.82
PLTRBUSDT,LOW_VOL_NEAR_BREAKOUT,0.16,185.35,186.43,115.7,0.58,142.68,61.13,29,129.91
ALABBUSDT,LOW_VOL_NEAR_BREAKOUT,0.15,353.15,361.67,254.21,2.36,97.64,42.27,17,361.67
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.04,0.011398,0.01145,0.01133,0.45,99.89,1.06,92,0.01141
