symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
RLUSDUSDT,NEAR_BREAKOUT,26.34,1.0011,1.0016,0.9996,0.05,99.99,0.2,69,1.0012
UUSDT,NEAR_BREAKOUT,16.26,1.0003,1.0014,0.9995,0.11,100.03,0.19,72,1.0
QQQBUSDT,LOW_VOL_BREAKOUT,2.71,733.09,732.41,666.72,-0.09,101.24,9.85,16,724.08
NVDABUSDT,LOW_VOL_BREAKOUT,0.37,225.43,225.24,194.98,-0.08,109.27,15.52,23,206.31
LITEBUSDT,LOW_VOL_BREAKOUT,0.14,931.23,894.91,597.58,-4.06,109.38,49.76,16,851.4
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,1.52,1.0011,1.0017,0.9993,0.06,100.07,0.24,172,1.0004
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,0.9,0.9999,0.9999,0.9989,0.0,99.99,0.1,123,1.0
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.37,0.011445,0.01145,0.011,0.04,100.31,4.09,79,0.01141
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.11,496.86,506.52,368.57,1.91,127.08,37.43,16,390.99
PLTRBUSDT,LOW_VOL_NEAR_BREAKOUT,0.01,175.75,178.17,115.7,1.36,135.29,53.99,16,129.91
