symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
RLUSDUSDT,NEAR_BREAKOUT,85.05,1.0005,1.0016,0.9996,0.11,99.93,0.2,75,1.0012
UUSDT,NEAR_BREAKOUT,36.8,0.9995,1.0014,0.9995,0.19,99.95,0.19,78,1.0
CRCLBUSDT,NEAR_BREAKOUT,16.88,92.85,94.95,60.38,2.21,115.89,57.25,28,80.12
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,5.52,1.0004,1.0017,0.9993,0.13,100.0,0.24,178,1.0004
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,3.48,710.35,733.88,666.72,3.21,98.1,10.07,22,724.08
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,1.49,218.14,226.07,194.98,3.51,105.73,15.95,28,206.31
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,1.4,1.0001,1.0002,0.9989,0.01,100.01,0.13,129,1.0
LITEBUSDT,LOW_VOL_NEAR_BREAKOUT,0.91,899.71,928.65,597.58,3.12,105.67,55.4,22,851.4
COINBUSDT,LOW_VOL_NEAR_BREAKOUT,0.71,184.0,188.51,147.17,2.39,108.96,28.09,19,168.87
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,0.56,763.0,776.59,739.33,1.75,101.56,5.04,19,751.29
TSMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.23,416.39,432.52,374.87,3.73,99.05,15.38,17,420.39
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.16,501.66,512.87,368.57,2.19,128.31,39.15,22,390.99
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.15,0.011397,0.01145,0.01133,0.46,99.89,1.06,84,0.01141
PLTRBUSDT,LOW_VOL_NEAR_BREAKOUT,0.11,183.64,186.43,115.7,1.5,141.36,61.13,22,129.91
IBMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.08,231.66,237.31,205.56,2.38,106.72,15.45,17,217.07
