symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
RLUSDUSDT,NEAR_BREAKOUT,179.32,1.0004,1.0016,0.9996,0.12,99.92,0.2,71,1.0012
UUSDT,NEAR_BREAKOUT,58.76,0.9996,1.0014,0.9995,0.18,99.96,0.19,74,1.0
XAUTUSDT,NEAR_BREAKOUT,33.4,4574.62,4802.05,4007.81,4.74,101.92,19.82,50,4488.26
CRCLBUSDT,NEAR_BREAKOUT,20.43,88.38,88.54,60.38,0.18,110.31,46.64,25,80.12
MSTRBUSDT,NEAR_BREAKOUT,10.6,120.27,121.41,82.76,0.94,112.68,46.7,21,106.74
COINBUSDT,LOW_VOL_BREAKOUT,1.36,187.35,177.57,147.17,-5.51,110.94,20.66,16,168.87
PLTRBUSDT,LOW_VOL_BREAKOUT,0.2,179.73,178.17,115.7,-0.88,138.35,53.99,18,129.91
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,4.83,1.0006,1.0017,0.9993,0.11,100.02,0.24,174,1.0004
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,4.03,0.9999,0.9999,0.9989,0.0,99.99,0.1,125,1.0
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,4.03,765.77,776.59,739.33,1.39,101.93,5.04,16,751.29
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,3.34,712.2,733.88,666.72,2.95,98.36,10.07,18,724.08
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,2.8,215.38,225.26,194.98,4.39,104.4,15.53,25,206.31
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.26,481.77,506.52,368.57,4.89,123.22,37.43,18,390.99
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.08,0.011387,0.01145,0.011,0.55,99.8,4.09,81,0.01141
