symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
TRXUSDT,BREAKOUT,29.44,0.3571,0.3538,0.2737,-0.93,259.71,29.27,220,0.1375
UUSDT,NEAR_BREAKOUT,11.66,1.0003,1.0014,0.9995,0.11,100.03,0.19,42,1.0
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,4.29,1.0004,1.0017,0.999,0.13,100.0,0.27,142,1.0004
RLUSDUSDT,LOW_VOL_NEAR_BREAKOUT,3.85,1.0004,1.0016,0.9996,0.12,99.92,0.2,39,1.0012
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,0.69,0.9995,1.0001,0.9989,0.06,99.95,0.12,93,1.0
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.02,0.01143,0.01145,0.011,0.17,100.18,4.09,49,0.01141
