symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
UUSDT,NEAR_BREAKOUT,20.63,1.0006,1.0014,0.9995,0.08,100.06,0.19,50,1.0
RLUSDUSDT,NEAR_BREAKOUT,8.5,1.0009,1.0016,0.9996,0.07,99.97,0.2,47,1.0012
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,2.38,1.0007,1.0017,0.999,0.1,100.03,0.27,150,1.0004
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,1.55,0.9996,1.0001,0.9989,0.05,99.96,0.12,101,1.0
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.05,0.01138,0.01145,0.011,0.61,99.74,4.09,57,0.01141
