symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
MSTRBUSDT,BREAKOUT,10.12,151.61,143.66,82.76,-5.53,142.04,73.59,30,106.74
RLUSDUSDT,NEAR_BREAKOUT,56.39,1.0003,1.0016,0.9996,0.13,99.91,0.2,81,1.0012
UUSDT,NEAR_BREAKOUT,22.89,1.0003,1.0014,0.9994,0.11,100.03,0.2,84,1.0
BFUSDUSDT,NEAR_BREAKOUT,7.76,0.9999,1.0002,0.9989,0.03,99.99,0.13,135,1.0
AEROUSDT,LOW_VOL_BREAKOUT,3.22,0.6438,0.6154,0.4002,-4.61,136.28,53.77,22,0.4724
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,3.17,760.83,776.59,739.33,2.03,101.27,5.04,26,751.29
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,2.73,220.48,231.15,194.98,4.62,106.87,18.55,34,206.31
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,2.17,1.0004,1.0017,0.9993,0.13,100.0,0.24,184,1.0004
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,2.07,719.26,733.88,666.72,1.99,99.33,10.07,28,724.08
COINBUSDT,LOW_VOL_NEAR_BREAKOUT,0.7,192.01,194.99,147.17,1.53,113.7,32.49,26,168.87
AAPLBUSDT,LOW_VOL_NEAR_BREAKOUT,0.53,333.4,340.08,301.98,1.96,98.04,12.62,18,340.08
SKHYBUSDT,LOW_VOL_NEAR_BREAKOUT,0.48,186.12,186.82,139.16,0.37,109.42,34.25,24,170.09
BMNRBUSDT,LOW_VOL_NEAR_BREAKOUT,0.29,25.37,26.18,18.01,3.09,134.8,45.36,16,18.82
AMDBUSDT,LOW_VOL_NEAR_BREAKOUT,0.21,554.55,560.51,454.51,1.06,104.48,23.32,30,530.76
MRVLBUSDT,LOW_VOL_NEAR_BREAKOUT,0.09,240.69,243.2,163.57,1.03,108.2,48.68,23,222.44
INTWBUSDT,LOW_VOL_NEAR_BREAKOUT,0.06,26.86,26.86,18.14,0.0,107.44,48.07,21,25.0
BEBUSDT,LOW_VOL_NEAR_BREAKOUT,0.05,267.41,280.27,180.0,4.59,133.22,55.71,18,200.73
IRENBUSDT,LOW_VOL_NEAR_BREAKOUT,0.05,45.83,46.5,35.61,1.44,110.49,30.58,16,41.48
SMCIBUSDT,LOW_VOL_NEAR_BREAKOUT,0.05,38.76,40.6,31.34,4.53,122.31,29.55,16,31.69
SMHBUSDT,LOW_VOL_NEAR_BREAKOUT,0.05,570.31,588.75,529.6,3.13,105.6,11.17,18,540.08
DELLBUSDT,LOW_VOL_NEAR_BREAKOUT,0.04,571.88,590.38,392.1,3.13,142.45,50.57,18,401.45
METABUSDT,LOW_VOL_NEAR_BREAKOUT,0.04,667.88,669.65,542.13,0.26,114.03,23.52,28,585.71
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.03,0.011385,0.01145,0.01133,0.57,99.78,1.06,91,0.01141
TSMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.03,431.77,434.71,374.87,0.68,102.71,15.96,23,420.39
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.02,493.78,512.87,368.57,3.72,126.29,39.15,28,390.99
