symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
CAKEUSDT,BREAKOUT,18.23,2.311,2.246,1.248,-2.89,123.12,79.97,220,1.877
AEROUSDT,BREAKOUT,15.39,0.6431,0.5503,0.4002,-16.86,136.13,37.51,18,0.4724
RLUSDUSDT,NEAR_BREAKOUT,32.81,1.0003,1.0016,0.9996,0.13,99.91,0.2,77,1.0012
UUSDT,NEAR_BREAKOUT,22.6,0.9994,1.0014,0.9994,0.2,99.94,0.2,80,1.0
CRCLBUSDT,NEAR_BREAKOUT,8.49,99.68,101.4,60.38,1.7,124.41,67.94,30,80.12
ORCLBUSDT,LOW_VOL_BREAKOUT,0.4,166.16,162.94,115.0,-1.98,130.78,41.69,17,127.05
TSMBUSDT,LOW_VOL_BREAKOUT,0.18,434.67,432.52,374.87,-0.5,103.4,15.38,19,420.39
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,6.22,718.88,733.88,666.72,2.04,99.28,10.07,24,724.08
MSTRBUSDT,LOW_VOL_NEAR_BREAKOUT,5.39,137.96,143.55,82.76,3.89,129.25,73.45,26,106.74
SKHYBUSDT,LOW_VOL_NEAR_BREAKOUT,3.59,181.24,181.24,139.16,0.0,106.56,30.24,20,170.09
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,3.13,1.0007,1.0017,0.9993,0.1,100.03,0.24,180,1.0004
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,2.04,0.9999,1.0002,0.9989,0.03,99.99,0.13,131,1.0
KORUBUSDT,LOW_VOL_NEAR_BREAKOUT,1.9,23.75,24.2,16.32,1.86,125.0,48.28,17,19.0
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,1.07,230.93,231.15,194.98,0.1,111.93,18.55,30,206.31
HOODBUSDT,LOW_VOL_NEAR_BREAKOUT,0.99,122.38,126.34,86.03,3.13,107.87,46.86,19,113.45
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,0.82,767.53,776.59,739.33,1.17,102.16,5.04,22,751.29
COINBUSDT,LOW_VOL_NEAR_BREAKOUT,0.6,181.86,188.51,147.17,3.53,107.69,28.09,22,168.87
LITEBUSDT,LOW_VOL_NEAR_BREAKOUT,0.39,882.76,928.65,597.58,4.94,103.68,55.4,24,851.4
MUUBUSDT,LOW_VOL_NEAR_BREAKOUT,0.33,35.34,35.53,25.47,0.53,107.09,39.5,17,33.0
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.09,495.23,512.87,368.57,3.44,126.66,39.15,24,390.99
IBMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.03,234.13,237.31,205.56,1.34,107.86,15.45,19,217.07
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.02,0.011399,0.01145,0.01133,0.45,99.9,1.06,87,0.01141
