symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
RLUSDUSDT,NEAR_BREAKOUT,32.04,1.0002,1.0016,0.9996,0.14,99.9,0.2,72,1.0012
UUSDT,NEAR_BREAKOUT,19.25,0.9996,1.0014,0.9995,0.18,99.96,0.19,75,1.0
XAUTUSDT,NEAR_BREAKOUT,17.67,4625.83,4802.05,4007.81,3.67,103.07,19.82,51,4488.26
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,5.76,1.0003,1.0017,0.9993,0.14,99.99,0.24,175,1.0004
CRCLBUSDT,LOW_VOL_NEAR_BREAKOUT,4.31,88.02,88.54,60.38,0.59,109.86,46.64,25,80.12
MSTRBUSDT,LOW_VOL_NEAR_BREAKOUT,3.68,120.5,121.41,82.76,0.75,112.89,46.7,21,106.74
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,3.0,708.83,733.88,666.72,3.41,97.89,10.07,19,724.08
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,2.47,1.0,1.0,0.9989,0.0,100.0,0.11,126,1.0
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,2.43,764.49,776.59,739.33,1.56,101.76,5.04,17,751.29
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,1.36,215.5,225.26,194.98,4.33,104.45,15.53,25,206.31
COINBUSDT,LOW_VOL_NEAR_BREAKOUT,0.4,186.8,188.51,147.17,0.91,110.62,28.09,17,168.87
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.11,483.7,506.52,368.57,4.51,123.71,37.43,19,390.99
PLTRBUSDT,LOW_VOL_NEAR_BREAKOUT,0.05,178.91,180.01,115.7,0.61,137.72,55.58,19,129.91
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.02,0.011381,0.01145,0.01133,0.6,99.75,1.06,82,0.01141
