symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
CRCLBUSDT,BREAKOUT,18.56,86.22,80.48,60.38,-7.13,107.61,33.29,24,80.12
MSTRBUSDT,BREAKOUT,10.98,119.43,107.92,82.76,-10.67,111.89,30.4,20,106.74
RLUSDUSDT,NEAR_BREAKOUT,142.09,1.0007,1.0016,0.9996,0.09,99.95,0.2,71,1.0012
UUSDT,NEAR_BREAKOUT,36.27,1.0002,1.0014,0.9995,0.12,100.02,0.19,74,1.0
BFUSDUSDT,LOW_VOL_BREAKOUT,3.96,1.0002,0.9999,0.9989,-0.03,100.02,0.1,125,1.0
COINBUSDT,LOW_VOL_BREAKOUT,3.32,179.62,177.57,147.17,-1.15,106.37,20.66,16,168.87
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,4.5,1.0007,1.0017,0.9993,0.1,100.03,0.24,174,1.0004
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,3.9,763.98,776.59,739.33,1.62,101.69,5.04,16,751.29
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,3.56,714.19,733.88,666.72,2.68,98.63,10.07,18,724.08
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,2.14,217.98,225.26,194.98,3.23,105.66,15.53,24,206.31
LITEBUSDT,LOW_VOL_NEAR_BREAKOUT,0.97,891.92,928.65,597.58,3.96,104.76,55.4,18,851.4
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.16,481.55,506.52,368.57,4.93,123.16,37.43,18,390.99
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.12,0.01144,0.01145,0.011,0.09,100.26,4.09,81,0.01141
PLTRBUSDT,LOW_VOL_NEAR_BREAKOUT,0.05,174.35,178.17,115.7,2.14,134.21,53.99,18,129.91
