symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
RLUSDUSDT,NEAR_BREAKOUT,43.17,1.0003,1.0016,0.9996,0.13,99.91,0.2,74,1.0012
UUSDT,NEAR_BREAKOUT,12.4,0.9995,1.0014,0.9995,0.19,99.95,0.19,77,1.0
MSFTBUSDT,LOW_VOL_BREAKOUT,0.07,515.7,512.78,368.57,-0.57,131.9,39.13,21,390.99
PLTRBUSDT,LOW_VOL_BREAKOUT,0.02,186.8,185.37,115.7,-0.77,143.79,60.22,21,129.91
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,2.26,1.0003,1.0017,0.9993,0.14,99.99,0.24,177,1.0004
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,1.83,719.44,733.88,666.72,1.97,99.36,10.07,21,724.08
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,1.02,0.9997,1.0002,0.9989,0.05,99.97,0.13,128,1.0
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,0.5,770.83,776.59,739.33,0.74,102.6,5.04,19,751.29
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,0.33,218.98,226.01,194.98,3.11,106.14,15.91,27,206.31
COINBUSDT,LOW_VOL_NEAR_BREAKOUT,0.19,180.04,188.51,147.17,4.49,106.61,28.09,19,168.87
LITEBUSDT,LOW_VOL_NEAR_BREAKOUT,0.15,892.47,928.65,597.58,3.9,104.82,55.4,21,851.4
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.13,0.011403,0.01145,0.01133,0.41,99.94,1.06,84,0.01141
TSMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.03,421.43,432.52,374.87,2.56,100.25,15.38,16,420.39
IBMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.01,236.01,237.31,205.56,0.55,108.73,15.45,16,217.07
