symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
CAKEUSDT,NEAR_BREAKOUT,18.33,2.235,2.246,1.248,0.49,119.07,79.97,220,1.877
UUSDT,NEAR_BREAKOUT,15.08,0.9993,1.0014,0.9994,0.21,99.93,0.2,79,1.0
RLUSDUSDT,NEAR_BREAKOUT,14.51,0.9999,1.0016,0.9996,0.17,99.87,0.2,76,1.0012
CRCLBUSDT,LOW_VOL_BREAKOUT,4.77,105.12,101.4,60.38,-3.67,131.2,67.94,30,80.12
MSTRBUSDT,LOW_VOL_BREAKOUT,3.18,145.16,143.55,82.76,-1.12,135.99,73.45,26,106.74
AEROUSDT,LOW_VOL_BREAKOUT,3.08,0.5547,0.5503,0.4002,-0.8,117.42,37.51,18,0.4724
HOODBUSDT,LOW_VOL_BREAKOUT,1.06,125.81,123.83,86.03,-1.6,110.89,43.94,18,113.45
NVDABUSDT,LOW_VOL_BREAKOUT,0.62,231.57,231.15,194.98,-0.18,112.24,18.55,30,206.31
SKHYBUSDT,LOW_VOL_BREAKOUT,0.41,177.29,175.05,139.16,-1.28,104.23,25.79,19,170.09
ORCLBUSDT,LOW_VOL_BREAKOUT,0.04,160.88,159.44,115.0,-0.9,126.63,38.64,16,127.05
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,2.37,721.14,733.88,666.72,1.74,99.59,10.07,23,724.08
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,2.26,1.0,1.0002,0.9989,0.02,100.0,0.13,130,1.0
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,1.92,1.0003,1.0017,0.9993,0.14,99.99,0.24,179,1.0004
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,0.46,771.27,776.59,739.33,0.69,102.66,5.04,21,751.29
COINBUSDT,LOW_VOL_NEAR_BREAKOUT,0.3,186.82,188.51,147.17,0.9,110.63,28.09,21,168.87
KORUBUSDT,LOW_VOL_NEAR_BREAKOUT,0.14,23.38,23.61,16.32,0.97,123.05,44.67,16,19.0
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.11,502.26,512.87,368.57,2.07,128.46,39.15,23,390.99
LITEBUSDT,LOW_VOL_NEAR_BREAKOUT,0.09,883.69,928.65,597.58,4.84,103.79,55.4,23,851.4
MUUBUSDT,LOW_VOL_NEAR_BREAKOUT,0.07,35.32,35.45,25.47,0.37,107.03,39.18,16,33.0
TSMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.05,428.95,432.52,374.87,0.83,102.04,15.38,18,420.39
IBMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.03,235.1,237.31,205.56,0.93,108.31,15.45,18,217.07
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.03,0.011391,0.01145,0.01133,0.52,99.83,1.06,86,0.01141
