symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
RLUSDUSDT,NEAR_BREAKOUT,54.34,1.0011,1.0016,0.9996,0.05,99.99,0.2,68,1.0012
UUSDT,NEAR_BREAKOUT,21.99,1.0003,1.0014,0.9995,0.11,100.03,0.19,71,1.0
LITEBUSDT,LOW_VOL_BREAKOUT,3.13,928.8,894.91,597.58,-3.79,109.09,49.76,15,851.4
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,2.61,724.18,726.36,666.72,0.3,100.01,8.95,15,724.08
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,1.71,1.001,1.0017,0.9993,0.07,100.06,0.24,171,1.0004
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,0.9,224.31,224.51,194.98,0.09,108.72,15.15,22,206.31
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,0.88,0.9999,0.9999,0.9989,0.0,99.99,0.1,122,1.0
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.34,491.26,506.52,368.57,3.01,125.65,37.43,15,390.99
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.22,0.011432,0.01145,0.011,0.16,100.19,4.09,78,0.01141
PLTRBUSDT,LOW_VOL_NEAR_BREAKOUT,0.22,170.41,173.13,115.7,1.57,131.18,49.64,15,129.91
