symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
RLUSDUSDT,NEAR_BREAKOUT,102.89,1.0005,1.0016,0.9996,0.11,99.93,0.2,75,1.0012
UUSDT,NEAR_BREAKOUT,23.11,0.9995,1.0014,0.9995,0.19,99.95,0.19,78,1.0
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,6.98,1.0001,1.0002,0.9989,0.01,100.01,0.13,129,1.0
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,2.86,1.0007,1.0017,0.9993,0.1,100.03,0.24,178,1.0004
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,2.84,709.02,733.88,666.72,3.39,97.92,10.07,22,724.08
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,2.54,224.7,226.07,194.98,0.61,108.91,15.95,29,206.31
HOODBUSDT,LOW_VOL_NEAR_BREAKOUT,1.31,109.93,113.45,86.03,3.1,96.9,31.87,17,113.45
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,0.91,765.48,776.59,739.33,1.43,101.89,5.04,20,751.29
ORCLBUSDT,LOW_VOL_NEAR_BREAKOUT,0.15,146.91,151.43,115.0,2.98,115.63,31.68,15,127.05
TSMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.13,413.98,432.52,374.87,4.29,98.48,15.38,17,420.39
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.07,0.011398,0.01145,0.01133,0.45,99.89,1.06,85,0.01141
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.07,499.05,512.87,368.57,2.69,127.64,39.15,22,390.99
IBMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.04,233.57,237.31,205.56,1.58,107.6,15.45,17,217.07
