symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
MSTRBUSDT,BREAKOUT,21.78,127.07,122.64,82.76,-3.61,119.05,48.19,22,106.74
CRCLBUSDT,BREAKOUT,15.0,89.73,88.54,60.38,-1.34,111.99,46.64,26,80.12
RLUSDUSDT,NEAR_BREAKOUT,40.9,1.0005,1.0016,0.9996,0.11,99.93,0.2,72,1.0012
UUSDT,NEAR_BREAKOUT,30.36,0.9996,1.0014,0.9995,0.18,99.96,0.19,75,1.0
XAUTUSDT,NEAR_BREAKOUT,27.0,4626.0,4802.05,4007.81,3.67,103.07,19.82,51,4488.26
BFUSDUSDT,LOW_VOL_BREAKOUT,2.54,1.0002,1.0,0.9989,-0.02,100.02,0.11,126,1.0
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,2.75,711.5,733.88,666.72,3.05,98.26,10.07,19,724.08
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,1.69,1.0006,1.0017,0.9993,0.11,100.02,0.24,175,1.0004
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,1.31,765.82,776.59,739.33,1.39,101.93,5.04,17,751.29
COINBUSDT,LOW_VOL_NEAR_BREAKOUT,0.98,184.93,188.51,147.17,1.9,109.51,28.09,17,168.87
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.09,0.0114,0.01145,0.01133,0.44,99.91,1.06,82,0.01141
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.09,486.92,506.52,368.57,3.87,124.54,37.43,19,390.99
PLTRBUSDT,LOW_VOL_NEAR_BREAKOUT,0.05,176.46,180.01,115.7,1.97,135.83,55.58,19,129.91
