symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
RLUSDUSDT,NEAR_BREAKOUT,54.86,1.0006,1.0016,0.9996,0.1,99.94,0.2,75,1.0012
UUSDT,NEAR_BREAKOUT,41.06,0.9996,1.0014,0.9995,0.18,99.96,0.19,78,1.0
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,5.37,704.54,733.88,666.72,4.0,97.3,10.07,22,724.08
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,4.76,1.0004,1.0017,0.9993,0.13,100.0,0.24,178,1.0004
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,2.27,1.0001,1.0002,0.9989,0.01,100.01,0.13,129,1.0
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,1.52,216.83,226.07,194.98,4.09,105.1,15.95,28,206.31
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,1.49,759.83,776.59,739.33,2.16,101.14,5.04,20,751.29
PLTRBUSDT,LOW_VOL_NEAR_BREAKOUT,0.2,177.25,186.43,115.7,4.92,136.44,61.13,22,129.91
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.13,0.011402,0.01145,0.01133,0.42,99.93,1.06,85,0.01141
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.12,497.4,512.87,368.57,3.02,127.22,39.15,22,390.99
IBMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.1,229.67,237.31,205.56,3.22,105.8,15.45,17,217.07
