symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
LTCUSDT,BREAKOUT,61.18,73.57,69.73,40.92,-5.51,54.18,70.41,220,135.79
LINKUSDT,BREAKOUT,60.55,14.314,12.521,7.248,-14.32,54.86,72.75,220,26.09
AEROUSDT,BREAKOUT,16.83,0.9002,0.6632,0.4002,-35.74,190.56,65.72,24,0.4724
QNTUSDT,BREAKOUT,9.24,105.58,90.1,56.8,-17.18,65.74,58.63,220,160.6
RLUSDUSDT,NEAR_BREAKOUT,70.66,1.0003,1.0016,0.9996,0.13,99.91,0.2,83,1.0012
UUSDT,NEAR_BREAKOUT,21.76,0.9998,1.0014,0.9994,0.16,99.98,0.2,86,1.0
QQQBUSDT,LOW_VOL_BREAKOUT,2.03,744.2,742.94,666.72,-0.17,102.78,11.43,30,724.08
AAPLBUSDT,LOW_VOL_BREAKOUT,1.13,340.28,340.08,301.98,-0.06,100.06,12.62,20,340.08
AMDBUSDT,LOW_VOL_BREAKOUT,0.74,629.46,614.51,454.51,-2.43,118.6,35.2,32,530.76
MSFTBUSDT,LOW_VOL_BREAKOUT,0.52,516.85,512.87,368.57,-0.78,132.19,39.15,30,390.99
BEBUSDT,LOW_VOL_BREAKOUT,0.24,284.21,280.27,180.0,-1.41,141.59,55.71,20,200.73
MRVLBUSDT,LOW_VOL_BREAKOUT,0.23,262.59,259.54,163.57,-1.18,118.05,58.67,25,222.44
SMCIBUSDT,LOW_VOL_BREAKOUT,0.19,43.51,41.49,31.34,-4.87,137.3,32.39,18,31.69
TSMBUSDT,LOW_VOL_BREAKOUT,0.16,451.23,450.27,374.87,-0.21,107.34,20.11,25,420.39
ALABBUSDT,LOW_VOL_BREAKOUT,0.08,367.63,361.67,254.21,-1.65,101.65,42.27,18,361.67
SMHBUSDT,LOW_VOL_BREAKOUT,0.07,608.92,600.99,529.6,-1.32,112.75,13.48,20,540.08
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,4.94,0.9999,1.0002,0.9989,0.03,99.99,0.13,137,1.0
WBTCUSDT,LOW_VOL_NEAR_BREAKOUT,4.39,84174.23,88168.54,59505.6,4.53,83.45,48.17,220,100870.1
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,3.58,224.32,231.15,194.98,2.95,108.73,18.55,36,206.31
SKHYBUSDT,LOW_VOL_NEAR_BREAKOUT,2.0,191.33,195.9,139.16,2.33,112.49,40.77,26,170.09
BMNRBUSDT,LOW_VOL_NEAR_BREAKOUT,1.27,27.27,28.46,18.01,4.18,144.9,58.02,18,18.82
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,1.05,1.0004,1.0017,0.9993,0.13,100.0,0.24,186,1.0004
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,0.64,770.57,776.59,739.33,0.78,102.57,5.04,28,751.29
COINBUSDT,LOW_VOL_NEAR_BREAKOUT,0.45,195.39,200.48,147.17,2.54,115.7,36.22,28,168.87
DRAMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.42,62.2,65.35,51.11,4.82,95.18,27.86,28,65.35
METABUSDT,LOW_VOL_NEAR_BREAKOUT,0.37,747.01,775.63,542.13,3.69,127.54,43.07,30,585.71
TQQQBUSDT,LOW_VOL_NEAR_BREAKOUT,0.34,79.51,81.01,63.15,1.85,111.41,28.28,23,71.37
ARMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.29,311.84,325.19,211.7,4.11,110.91,53.61,25,281.17
MUUBUSDT,LOW_VOL_NEAR_BREAKOUT,0.27,37.73,39.0,25.47,3.26,114.33,53.12,23,33.0
GMEBUSDT,LOW_VOL_NEAR_BREAKOUT,0.26,23.47,24.03,17.99,2.33,124.71,33.57,16,18.82
DELLBUSDT,LOW_VOL_NEAR_BREAKOUT,0.25,562.04,590.38,392.1,4.8,140.0,50.57,20,401.45
QCOMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.2,202.15,202.62,149.96,0.23,105.79,35.12,28,191.08
MVLLBUSDT,LOW_VOL_NEAR_BREAKOUT,0.19,35.59,35.85,20.88,0.73,148.29,71.7,23,24.0
PLTRBUSDT,LOW_VOL_NEAR_BREAKOUT,0.12,189.84,191.6,115.7,0.92,146.13,65.6,30,129.91
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.04,0.011382,0.01145,0.011324,0.59,99.75,1.11,93,0.01141
