symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
RLUSDUSDT,NEAR_BREAKOUT,42.3,1.001,1.0016,0.9996,0.06,99.98,0.2,70,1.0012
BFUSDUSDT,NEAR_BREAKOUT,23.9,0.9995,0.9999,0.9989,0.04,99.95,0.1,124,1.0
UUSDT,NEAR_BREAKOUT,17.8,1.0003,1.0014,0.9995,0.11,100.03,0.19,73,1.0
LITEBUSDT,LOW_VOL_BREAKOUT,1.85,952.56,928.17,597.58,-2.63,111.88,55.32,17,851.4
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,4.14,1.0012,1.0017,0.9993,0.05,100.08,0.24,173,1.0004
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,2.51,770.4,776.59,739.33,0.8,102.54,5.04,15,751.29
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,1.75,725.95,733.88,666.72,1.08,100.26,10.07,17,724.08
NBISBUSDT,LOW_VOL_NEAR_BREAKOUT,1.12,266.93,277.68,171.56,3.87,123.7,61.86,15,215.79
CBRSBUSDT,LOW_VOL_NEAR_BREAKOUT,1.09,248.85,252.54,168.64,1.46,124.33,49.75,15,200.16
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,1.01,222.73,225.24,194.98,1.11,107.96,15.52,23,206.31
PLTRBUSDT,LOW_VOL_NEAR_BREAKOUT,0.06,170.59,178.17,115.7,4.25,131.31,53.99,17,129.91
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.04,0.011441,0.01145,0.011,0.08,100.27,4.09,80,0.01141
