symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
RLUSDUSDT,NEAR_BREAKOUT,52.92,1.001,1.0016,0.9996,0.06,99.98,0.2,70,1.0012
UUSDT,NEAR_BREAKOUT,18.84,1.0003,1.0014,0.9995,0.11,100.03,0.19,73,1.0
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,4.34,1.001,1.0017,0.9993,0.07,100.06,0.24,173,1.0004
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,4.19,718.0,733.88,666.72,2.16,99.16,10.07,17,724.08
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,1.1,0.9998,0.9999,0.9989,0.01,99.98,0.1,124,1.0
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,1.03,767.89,776.59,739.33,1.12,102.21,5.04,15,751.29
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,0.6,219.41,225.26,194.98,2.6,106.35,15.53,24,206.31
PLTRBUSDT,LOW_VOL_NEAR_BREAKOUT,0.1,170.65,178.17,115.7,4.22,131.36,53.99,17,129.91
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.07,481.9,506.52,368.57,4.86,123.25,37.43,17,390.99
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.05,0.01144,0.01145,0.011,0.09,100.26,4.09,80,0.01141
