symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
RLUSDUSDT,NEAR_BREAKOUT,96.55,1.0009,1.0016,0.9996,0.07,99.97,0.2,80,1.0012
UUSDT,NEAR_BREAKOUT,22.03,1.0004,1.0014,0.9994,0.1,100.04,0.2,83,1.0
METABUSDT,LOW_VOL_BREAKOUT,0.46,679.84,669.65,542.13,-1.52,116.07,23.52,27,585.71
BEBUSDT,LOW_VOL_BREAKOUT,0.17,282.62,276.13,180.0,-2.35,140.8,53.41,17,200.73
DELLBUSDT,LOW_VOL_BREAKOUT,0.1,571.66,569.54,392.1,-0.37,142.4,45.25,17,401.45
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,6.77,1.0011,1.0017,0.9993,0.06,100.07,0.24,183,1.0004
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,5.28,713.16,733.88,666.72,2.82,98.49,10.07,27,724.08
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,1.79,0.9999,1.0002,0.9989,0.03,99.99,0.13,134,1.0
SKHYBUSDT,LOW_VOL_NEAR_BREAKOUT,1.74,179.66,186.14,139.16,3.48,105.63,33.76,23,170.09
AAPLBUSDT,LOW_VOL_NEAR_BREAKOUT,1.61,334.23,340.08,301.98,1.72,98.28,12.62,17,340.08
LITEBUSDT,LOW_VOL_NEAR_BREAKOUT,1.55,940.55,986.18,597.58,4.63,110.47,65.03,27,851.4
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,0.94,760.97,776.59,739.33,2.01,101.29,5.04,25,751.29
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.82,0.011384,0.01145,0.01133,0.58,99.77,1.06,90,0.01141
MRVLBUSDT,LOW_VOL_NEAR_BREAKOUT,0.48,236.55,240.78,163.57,1.76,106.34,47.2,22,222.44
IRENBUSDT,LOW_VOL_NEAR_BREAKOUT,0.22,44.93,45.38,35.61,0.99,108.32,27.44,15,41.48
INTWBUSDT,LOW_VOL_NEAR_BREAKOUT,0.16,24.2,25.16,18.14,3.82,96.8,38.7,20,25.0
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.16,494.85,512.87,368.57,3.51,126.56,39.15,27,390.99
QCOMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.15,189.06,191.08,149.96,1.06,98.94,27.42,25,191.08
IBMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.08,238.72,248.31,205.56,3.86,109.97,20.8,22,217.07
TSMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.05,423.58,434.71,374.87,2.56,100.76,15.96,22,420.39
