symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
LINKUSDT,BREAKOUT,48.36,13.056,12.521,7.248,-4.27,51.77,72.75,220,25.22
BTCUSDT,NEAR_BREAKOUT,1852.41,85208.18,89559.68,58624.71,4.86,86.43,52.77,220,98587.32
RLUSDUSDT,NEAR_BREAKOUT,114.98,1.0003,1.0016,0.9996,0.13,99.91,0.2,81,1.0012
UUSDT,NEAR_BREAKOUT,43.64,1.0,1.0014,0.9994,0.14,100.0,0.2,84,1.0
CRCLBUSDT,NEAR_BREAKOUT,21.07,96.98,101.4,60.38,4.36,121.04,67.94,35,80.12
WBTCUSDT,NEAR_BREAKOUT,7.95,85139.6,89405.78,59505.6,4.77,88.16,50.25,220,96574.67
AEROUSDT,LOW_VOL_BREAKOUT,4.02,0.6925,0.6587,0.4002,-5.13,146.59,64.59,23,0.4724
SKHYBUSDT,LOW_VOL_BREAKOUT,1.61,189.45,186.82,139.16,-1.41,111.38,34.25,24,170.09
AMDBUSDT,LOW_VOL_BREAKOUT,1.6,579.53,564.24,454.51,-2.71,109.19,24.14,31,530.76
BMNRBUSDT,LOW_VOL_BREAKOUT,1.02,27.54,26.18,18.01,-5.19,146.33,45.36,16,18.82
COINBUSDT,LOW_VOL_BREAKOUT,0.87,205.06,194.99,147.17,-5.16,121.43,32.49,26,168.87
MRVLBUSDT,LOW_VOL_BREAKOUT,0.74,251.54,243.2,163.57,-3.43,113.08,48.68,23,222.44
IRENBUSDT,LOW_VOL_BREAKOUT,0.41,48.31,46.5,35.61,-3.89,116.47,30.58,16,41.48
METABUSDT,LOW_VOL_BREAKOUT,0.41,681.36,669.65,542.13,-1.75,116.33,23.52,28,585.71
INTWBUSDT,LOW_VOL_BREAKOUT,0.25,29.29,26.86,18.14,-9.05,117.16,48.07,21,25.0
TSMBUSDT,LOW_VOL_BREAKOUT,0.15,440.7,434.71,374.87,-1.38,104.83,15.96,23,420.39
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,5.63,223.63,231.15,194.98,3.25,108.4,18.55,35,206.31
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,5.43,1.0004,1.0017,0.9993,0.13,100.0,0.24,184,1.0004
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,4.15,728.18,733.88,666.72,0.78,100.57,10.07,28,724.08
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,3.31,1.0,1.0002,0.9989,0.02,100.0,0.13,135,1.0
HOODBUSDT,LOW_VOL_NEAR_BREAKOUT,1.01,126.31,126.46,86.03,0.12,111.34,47.0,23,113.45
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.85,0.011388,0.01145,0.01133,0.54,99.81,1.06,91,0.01141
AAPLBUSDT,LOW_VOL_NEAR_BREAKOUT,0.81,336.12,340.08,301.98,1.16,98.84,12.62,19,340.08
TQQQBUSDT,LOW_VOL_NEAR_BREAKOUT,0.72,74.94,76.81,63.15,2.43,105.0,21.63,21,71.37
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,0.6,766.6,776.59,739.33,1.29,102.04,5.04,26,751.29
BEBUSDT,LOW_VOL_NEAR_BREAKOUT,0.57,270.82,280.27,180.0,3.37,134.92,55.71,19,200.73
LITEBUSDT,LOW_VOL_NEAR_BREAKOUT,0.52,951.39,986.18,597.58,3.53,111.74,65.03,28,851.4
MUUBUSDT,LOW_VOL_NEAR_BREAKOUT,0.5,35.06,35.53,25.47,1.32,106.24,39.5,21,33.0
ARMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.46,289.2,291.89,211.7,0.92,102.86,37.88,23,281.17
DELLBUSDT,LOW_VOL_NEAR_BREAKOUT,0.17,582.09,590.38,392.1,1.4,145.0,50.57,19,401.45
SMCIBUSDT,LOW_VOL_NEAR_BREAKOUT,0.13,40.54,40.6,31.34,0.15,127.93,29.55,16,31.69
PLTRBUSDT,LOW_VOL_NEAR_BREAKOUT,0.11,178.85,186.43,115.7,4.07,137.67,61.13,28,129.91
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.08,495.63,512.87,368.57,3.36,126.76,39.15,28,390.99
SMHBUSDT,LOW_VOL_NEAR_BREAKOUT,0.06,584.19,588.75,529.6,0.77,108.17,11.17,19,540.08
