symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
UUSDT,NEAR_BREAKOUT,30.24,1.0001,1.0014,0.9994,0.13,100.01,0.2,82,1.0
RLUSDUSDT,NEAR_BREAKOUT,25.52,1.0004,1.0016,0.9996,0.12,99.92,0.2,79,1.0012
IBMBUSDT,LOW_VOL_BREAKOUT,0.09,248.7,243.45,205.56,-2.16,114.57,18.43,21,217.07
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,4.54,702.59,733.88,666.72,4.26,97.03,10.07,26,724.08
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,3.79,1.0,1.0002,0.9989,0.02,100.0,0.13,133,1.0
AAPLBUSDT,LOW_VOL_NEAR_BREAKOUT,1.9,331.87,340.08,301.98,2.41,97.59,12.62,16,340.08
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,1.85,1.0006,1.0017,0.9993,0.11,100.02,0.24,182,1.0004
METABUSDT,LOW_VOL_NEAR_BREAKOUT,0.93,658.97,669.65,542.13,1.59,112.51,23.52,26,585.71
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,0.48,758.47,776.59,739.33,2.33,100.96,5.04,24,751.29
COINBUSDT,LOW_VOL_NEAR_BREAKOUT,0.32,180.37,188.51,147.17,4.32,106.81,28.09,24,168.87
TSMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.16,417.1,434.71,374.87,4.05,99.22,15.96,21,420.39
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.11,498.24,512.87,368.57,2.85,127.43,39.15,26,390.99
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.04,0.0114,0.01145,0.01133,0.44,99.91,1.06,89,0.01141
GSBUSDT,LOW_VOL_NEAR_BREAKOUT,0.01,1015.72,1046.78,1007.47,2.97,98.29,3.9,16,1033.34
