symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
CRCLBUSDT,BREAKOUT,20.33,82.53,80.48,60.38,-2.55,103.01,33.29,24,80.12
MSTRBUSDT,BREAKOUT,8.17,108.6,107.92,82.76,-0.63,101.74,30.4,20,106.74
RLUSDUSDT,NEAR_BREAKOUT,119.09,1.0009,1.0016,0.9996,0.07,99.97,0.2,71,1.0012
UUSDT,NEAR_BREAKOUT,49.62,0.9999,1.0014,0.9995,0.15,99.99,0.19,74,1.0
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,6.0,719.58,733.88,666.72,1.95,99.38,10.07,18,724.08
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,5.12,1.0008,1.0017,0.9993,0.09,100.04,0.24,174,1.0004
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,2.99,770.38,776.59,739.33,0.8,102.54,5.04,15,751.29
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,2.4,0.9998,0.9999,0.9989,0.01,99.98,0.1,125,1.0
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,1.24,219.47,225.26,194.98,2.57,106.38,15.53,24,206.31
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.65,484.41,506.52,368.57,4.37,123.89,37.43,18,390.99
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.07,0.011438,0.01145,0.011,0.1,100.25,4.09,80,0.01141
PLTRBUSDT,LOW_VOL_NEAR_BREAKOUT,0.07,174.75,178.17,115.7,1.92,134.52,53.99,18,129.91
