symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
RLUSDUSDT,NEAR_BREAKOUT,128.6,1.0004,1.0016,0.9996,0.12,99.92,0.2,74,1.0012
UUSDT,NEAR_BREAKOUT,19.64,0.9996,1.0014,0.9995,0.18,99.96,0.19,77,1.0
MSFTBUSDT,LOW_VOL_BREAKOUT,0.13,514.11,512.78,368.57,-0.26,131.49,39.13,21,390.99
PLTRBUSDT,LOW_VOL_BREAKOUT,0.13,185.6,185.37,115.7,-0.12,142.87,60.22,21,129.91
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,3.93,218.8,226.01,194.98,3.19,106.05,15.91,27,206.31
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,2.73,716.92,733.88,666.72,2.31,99.01,10.07,21,724.08
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,2.64,770.24,776.59,739.33,0.82,102.52,5.04,18,751.29
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,1.73,1.0003,1.0017,0.9993,0.14,99.99,0.24,177,1.0004
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,1.23,0.9998,1.0002,0.9989,0.04,99.98,0.13,128,1.0
LITEBUSDT,LOW_VOL_NEAR_BREAKOUT,0.86,892.17,928.65,597.58,3.93,104.79,55.4,21,851.4
TSMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.1,418.98,432.52,374.87,3.13,99.66,15.38,16,420.39
IBMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.05,236.14,237.31,205.56,0.49,108.79,15.45,16,217.07
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.03,0.011404,0.01145,0.01133,0.4,99.95,1.06,83,0.01141
