symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
RLUSDUSDT,NEAR_BREAKOUT,137.23,1.0004,1.0016,0.9996,0.12,99.92,0.2,73,1.0012
UUSDT,NEAR_BREAKOUT,28.75,0.9994,1.0014,0.9995,0.2,99.94,0.19,76,1.0
BFUSDUSDT,LOW_VOL_BREAKOUT,2.53,1.0003,1.0,0.9989,-0.03,100.03,0.11,127,1.0
PLTRBUSDT,LOW_VOL_BREAKOUT,0.16,185.82,180.18,115.7,-3.13,143.04,55.73,20,129.91
MSFTBUSDT,LOW_VOL_BREAKOUT,0.1,514.7,506.52,368.57,-1.61,131.64,37.43,20,390.99
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,5.05,218.64,226.01,194.98,3.26,105.98,15.91,27,206.31
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,4.92,1.0005,1.0017,0.9993,0.12,100.01,0.24,176,1.0004
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,3.36,769.14,776.59,739.33,0.96,102.38,5.04,18,751.29
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,2.58,716.59,733.88,666.72,2.36,98.97,10.07,20,724.08
LITEBUSDT,LOW_VOL_NEAR_BREAKOUT,0.74,907.53,928.65,597.58,2.27,106.59,55.4,20,851.4
TSMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.13,420.11,432.52,374.87,2.87,99.93,15.38,15,420.39
IBMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.07,235.52,237.31,205.56,0.75,108.5,15.45,15,217.07
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.03,0.0114,0.01145,0.01133,0.44,99.91,1.06,83,0.01141
