symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
UUSDT,NEAR_BREAKOUT,19.56,1.0003,1.0014,0.9995,0.11,100.03,0.19,73,1.0
RLUSDUSDT,NEAR_BREAKOUT,16.25,1.0011,1.0016,0.9996,0.05,99.99,0.2,70,1.0012
QQQBUSDT,LOW_VOL_BREAKOUT,1.86,736.0,733.88,666.72,-0.29,101.65,10.07,17,724.08
NVDABUSDT,LOW_VOL_BREAKOUT,0.56,226.16,225.24,194.98,-0.41,109.62,15.52,23,206.31
LITEBUSDT,LOW_VOL_BREAKOUT,0.47,940.92,928.17,597.58,-1.37,110.51,55.32,17,851.4
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,0.94,0.9996,0.9999,0.9989,0.03,99.96,0.1,124,1.0
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,0.55,1.0011,1.0017,0.9993,0.06,100.07,0.24,173,1.0004
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.07,0.011441,0.01145,0.011,0.08,100.27,4.09,79,0.01141
PLTRBUSDT,LOW_VOL_NEAR_BREAKOUT,0.03,173.47,178.17,115.7,2.64,133.53,53.99,17,129.91
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.02,493.14,506.52,368.57,2.64,126.13,37.43,17,390.99
