symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
RLUSDUSDT,NEAR_BREAKOUT,180.15,1.0003,1.0016,0.9996,0.13,99.91,0.2,78,1.0012
UUSDT,NEAR_BREAKOUT,22.11,0.9997,1.0014,0.9994,0.17,99.97,0.2,81,1.0
SKHYBUSDT,LOW_VOL_BREAKOUT,3.53,189.55,186.11,139.16,-1.85,111.44,33.74,21,170.09
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,6.59,712.83,733.88,666.72,2.87,98.45,10.07,25,724.08
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,5.1,1.0006,1.0017,0.9993,0.11,100.02,0.24,181,1.0004
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,4.7,0.9999,1.0002,0.9989,0.03,99.99,0.13,132,1.0
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,2.32,220.03,231.15,194.98,4.81,106.65,18.55,31,206.31
AAPLBUSDT,LOW_VOL_NEAR_BREAKOUT,1.77,326.38,340.08,301.98,4.03,95.97,12.62,15,340.08
ORCLBUSDT,LOW_VOL_NEAR_BREAKOUT,1.59,161.6,162.94,115.0,0.82,127.19,41.69,18,127.05
MRVLBUSDT,LOW_VOL_NEAR_BREAKOUT,1.38,228.91,240.78,163.57,4.93,102.91,47.2,20,222.44
LITEBUSDT,LOW_VOL_NEAR_BREAKOUT,1.24,947.1,986.18,597.58,3.96,111.24,65.03,25,851.4
METABUSDT,LOW_VOL_NEAR_BREAKOUT,0.95,649.66,669.65,542.13,2.99,110.92,23.52,25,585.71
BEBUSDT,LOW_VOL_NEAR_BREAKOUT,0.67,264.16,274.7,180.0,3.84,131.6,52.61,15,200.73
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,0.67,762.03,776.59,739.33,1.87,101.43,5.04,23,751.29
DELLBUSDT,LOW_VOL_NEAR_BREAKOUT,0.27,510.59,531.63,392.1,3.96,127.19,35.59,15,401.45
TSMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.19,428.57,434.71,374.87,1.41,101.95,15.96,20,420.39
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.17,494.92,512.87,368.57,3.5,126.58,39.15,25,390.99
IBMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.11,234.73,238.62,205.56,1.63,108.14,16.08,20,217.07
SMHBUSDT,LOW_VOL_NEAR_BREAKOUT,0.06,565.27,588.75,529.6,3.99,104.66,11.17,15,540.08
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.04,0.0114,0.01145,0.01133,0.44,99.91,1.06,88,0.01141
GSBUSDT,LOW_VOL_NEAR_BREAKOUT,0.01,1026.37,1046.78,1007.47,1.95,99.33,3.9,15,1033.34
