symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
CRCLBUSDT,BREAKOUT,16.16,94.88,88.54,60.38,-7.16,118.42,46.64,26,80.12
MSTRBUSDT,BREAKOUT,8.92,138.62,122.64,82.76,-13.03,129.87,48.19,22,106.74
NVDABUSDT,BREAKOUT,8.85,229.04,225.26,194.98,-1.68,111.02,15.53,26,206.31
RLUSDUSDT,NEAR_BREAKOUT,108.98,1.0002,1.0016,0.9996,0.14,99.9,0.2,73,1.0012
UUSDT,NEAR_BREAKOUT,24.28,0.9994,1.0014,0.9995,0.2,99.94,0.19,76,1.0
XAUTUSDT,NEAR_BREAKOUT,19.5,4597.14,4802.05,4007.81,4.27,102.43,19.82,52,4488.26
MRVLBUSDT,LOW_VOL_BREAKOUT,1.69,245.16,240.78,163.57,-1.82,110.21,47.2,15,222.44
COINBUSDT,LOW_VOL_BREAKOUT,1.31,192.13,188.51,147.17,-1.92,113.77,28.09,18,168.87
LITEBUSDT,LOW_VOL_BREAKOUT,0.78,937.05,928.65,597.58,-0.9,110.06,55.4,20,851.4
PLTRBUSDT,LOW_VOL_BREAKOUT,0.18,185.45,180.18,115.7,-2.92,142.75,55.73,20,129.91
IBMBUSDT,LOW_VOL_BREAKOUT,0.1,239.84,237.31,205.56,-1.07,110.49,15.45,15,217.07
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,3.85,0.9998,1.0017,0.9993,0.19,99.94,0.24,176,1.0004
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,2.92,0.9999,1.0,0.9989,0.01,99.99,0.11,127,1.0
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,2.57,719.78,733.88,666.72,1.92,99.41,10.07,20,724.08
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,2.45,771.44,776.59,739.33,0.66,102.68,5.04,18,751.29
HOODBUSDT,LOW_VOL_NEAR_BREAKOUT,0.34,110.45,113.45,86.03,2.64,97.36,31.87,15,113.45
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.2,504.3,506.52,368.57,0.44,128.98,37.43,20,390.99
TSMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.16,428.6,432.52,374.87,0.91,101.95,15.38,15,420.39
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.03,0.011402,0.01145,0.01133,0.42,99.93,1.06,83,0.01141
