symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
RLUSDUSDT,NEAR_BREAKOUT,38.34,1.0009,1.0016,0.9996,0.07,99.97,0.2,80,1.0012
UUSDT,NEAR_BREAKOUT,29.35,1.0004,1.0014,0.9994,0.1,100.04,0.2,83,1.0
MSTRBUSDT,NEAR_BREAKOUT,14.19,136.83,143.66,82.76,4.75,128.19,73.59,30,106.74
SPYBUSDT,NEAR_BREAKOUT,9.84,762.38,776.59,739.33,1.83,101.48,5.04,25,751.29
AEROUSDT,LOW_VOL_BREAKOUT,6.01,0.6191,0.6154,0.4002,-0.6,131.05,53.77,22,0.4724
SKHYBUSDT,LOW_VOL_BREAKOUT,1.95,186.18,186.14,139.16,-0.02,109.46,33.76,23,170.09
MRVLBUSDT,LOW_VOL_BREAKOUT,0.97,243.5,240.78,163.57,-1.13,109.47,47.2,22,222.44
BEBUSDT,LOW_VOL_BREAKOUT,0.47,285.01,280.27,180.0,-1.69,141.99,55.71,18,200.73
INTWBUSDT,LOW_VOL_BREAKOUT,0.25,27.22,25.16,18.14,-8.19,108.88,38.7,20,25.0
METABUSDT,LOW_VOL_BREAKOUT,0.16,684.01,669.65,542.13,-2.14,116.78,23.52,27,585.71
DELLBUSDT,LOW_VOL_BREAKOUT,0.08,594.0,590.38,392.1,-0.61,147.96,50.57,18,401.45
GOOGLBUSDT,LOW_VOL_NEAR_BREAKOUT,6.43,356.23,372.35,319.14,4.33,97.21,16.67,25,366.46
NVDABUSDT,LOW_VOL_NEAR_BREAKOUT,5.82,220.69,231.15,194.98,4.53,106.97,18.55,34,206.31
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,5.09,1.0009,1.0017,0.9993,0.08,100.05,0.24,183,1.0004
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,4.75,0.9995,1.0002,0.9989,0.07,99.95,0.13,134,1.0
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,3.89,720.2,733.88,666.72,1.86,99.46,10.07,27,724.08
AAPLBUSDT,LOW_VOL_NEAR_BREAKOUT,2.63,337.21,340.08,301.98,0.84,99.16,12.62,18,340.08
AMDBUSDT,LOW_VOL_NEAR_BREAKOUT,1.17,549.27,560.51,454.51,2.01,103.49,23.32,30,530.76
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.37,0.01139,0.01145,0.01133,0.52,99.82,1.06,90,0.01141
IRENBUSDT,LOW_VOL_NEAR_BREAKOUT,0.25,44.33,45.38,35.61,2.31,106.87,27.44,15,41.48
SMCIBUSDT,LOW_VOL_NEAR_BREAKOUT,0.18,40.51,40.6,31.34,0.22,127.83,29.55,15,31.69
QCOMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.12,189.85,191.08,149.96,0.64,99.36,27.42,25,191.08
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.09,497.72,512.87,368.57,2.95,127.3,39.15,27,390.99
TSMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.09,430.18,434.71,374.87,1.04,102.33,15.96,22,420.39
IBMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.08,238.07,248.31,205.56,4.12,109.67,20.8,22,217.07
SMHBUSDT,LOW_VOL_NEAR_BREAKOUT,0.04,565.76,588.75,529.6,3.9,104.75,11.17,18,540.08
